Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;;0;;;;;0;0;0;0;;
1387E;0;;;;0;;0;0;;;;1;
1428;0;0;0;0;0;0;0;0;0;0;0;1;1
8175;0;1;;;0;0;;;;;;;
8178D;0;;0;0;0;0;0;0;0;0;0;0;
8025;0;0;0;;;0;0;0;0;0;;0;
8019;0;0;;;0;;0;;;0;;0;
6325O;2;0;1;0;0;0;0;;0;;1;2;
9091O;0;0;1;;0;0;0;;0;;;1;
1212E;;;1;;;;;0;0;;5;2;
1249I;0;0;0;0;0;0;0;0;0;0;0;2;2
2444;0;0;0;;0;0;0;0;0;0;0;0;
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;;0;0;0;0;;0;0;0;0;0;
B893;1;0;0;;0;;;0;0;;1;0;
B228;0;0;0;0;0;0;0;0;0;0;0;0;0
B278;0;0;0;0;;0;0;0;0;;0;1;
0200E;0;0;0;0;0;0;1;0;0;0;0;0;1
0076;;;;;;;0;;;;;;
1082;2;1;0;0;0;0;0;0;0;;;;
2331;0;0;;;0;0;0;0;;0;0;;
3469A;0;0;0;0;0;0;0;0;0;0;0;1;1
5973;0;0;0;0;0;0;0;0;0;;0;;
5960;0;;;;0;;;0;;;;;
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
6001;0;;;0;;;;0;0;0;0;;
1111;;1;0;0;0;0;0;0;0;0;4;4;
1109;0;0;0;0;0;0;0;0;;0;2;5;
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;0;0;0;;0;;0;0;0;;0;0;
4121;0;0;0;0;0;0;;0;;0;0;0;
5402;;0;;;0;;0;;0;;0;;
8096;0;0;0;0;0;0;0;0;0;0;;0;
1014;0;0;0;;0;;0;0;0;0;;1;
1024E;4;1;1;0;0;0;;0;0;0;4;5;
5530E;0;0;0;;0;0;0;0;0;0;0;0;
5514;0;0;;;0;0;0;0;0;0;0;0;
3013;0;0;0;0;0;0;0;0;0;0;;;
4642E;0;0;0;0;0;0;0;0;0;0;0;0;0
9898;0;;0;;0;;0;0;0;0;0;;
5270B;0;0;0;0;0;;;;;0;;;
9170;0;0;0;;;;;0;0;0;0;;
C249I;0;;0;;;0;;0;;0;0;;
C649I;;0;;;0;;;;;;0;;
C029O;0;;0;0;;;;;0;0;;0;
2661;;0;0;;0;0;0;0;;0;0;0;
1549;0;0;0;0;0;0;;0;0;0;0;0;
9771C;;0;;0;0;0;;0;;0;;;
1505;;0;0;0;;0;0;0;0;0;0;0;
3191E;0;0;0;0;0;0;0;;0;;0;3;
3129;;;;;0;0;1;;;;;0;
3196;0;0;0;0;0;0;0;0;0;0;0;;
3200;0;0;0;;;0;0;0;0;1;0;1;
3195;;;0;0;0;0;0;0;0;0;0;;
3175;;0;0;0;0;0;1;0;0;;0;;
2462;3;;1;4;;0;0;;0;;2;7;
6155A;0;;0;0;0;0;0;0;;;0;;
6000A;;;;;;;;0;;;;1;
7178I;0;0;0;0;0;0;0;0;0;0;0;0;0
7228;0;0;0;;0;0;0;0;0;0;0;0;
9263D;0;0;;0;;0;;0;;;0;2;
1690A;;0;0;0;0;0;0;0;0;0;0;0;
1484C;0;0;0;0;;;0;0;0;0;;;
1495;0;;0;;0;;0;0;;0;0;1;
2867;;;0;1;;;0;;0;;0;4;
2870;0;0;0;0;0;;;0;0;0;0;1;
C929I;;0;0;;0;;;;0;;0;;
C430E;1;;0;4;0;0;0;1;0;2;1;4;
C139E;0;0;0;;;;;0;0;0;;0;
C449C;;0;0;0;;0;;0;0;0;;0;
C447A;;0;;0;;0;0;0;;0;0;;
C429I;0;0;0;0;0;;0;;0;;0;;
2465;0;;0;;0;1;0;0;0;0;0;;
5796;0;0;0;0;0;0;0;0;0;0;;0;
5783;0;;0;;;0;;;0;0;;;
2030;0;0;0;;0;0;0;0;0;0;0;1;
0016A;;0;0;;;;;0;0;;;3;
9981A;2;1;0;0;0;0;0;0;;0;2;4;
9381I;0;0;;0;0;0;0;0;0;0;0;;
8368U;0;0;0;0;0;0;0;0;0;0;0;0;0
3260B;0;1;0;;0;0;0;0;;;0;1;
8414A;;1;;;0;;0;0;0;0;0;3;
2422;0;0;0;0;0;;0;;0;0;0;;
2614;0;0;0;0;0;;;0;0;0;;;
9390;0;0;0;0;0;;;;0;;0;;
9434;0;0;0;;;;;;;0;1;;
